epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.8868,0.8298,2.29928,1.28184,0.25443,0.49632,0.30446,0.24216,0.63188,3.13552,0.70458,0.000366077,0.000366077,0.000366077
2,113.103,0.72255,1.6903,1.19389,0.31104,0.61409,0.36488,0.30337,0.59894,2.49529,0.75488,0.000721829,0.000721829,0.000721829
3,172.707,0.73349,1.61361,1.19718,0.29772,0.63839,0.39634,0.28614,0.75641,1.78628,1.11679,0.00106292,0.00106292,0.00106292
4,234.398,0.67703,1.51974,1.15765,0.26818,0.60799,0.38414,0.28679,0.84853,2.29628,1.13203,0.00104501,0.00104501,0.00104501
5,283.593,0.67284,1.49417,1.16211,0.28912,0.63603,0.35562,0.27517,0.7757,1.99592,1.08492,0.00102301,0.00102301,0.00102301
6,332.151,0.62184,1.46894,1.12922,0.15538,0.54423,0.30859,0.20426,0.80899,2.13187,1.09368,0.00100101,0.00100101,0.00100101
7,380.206,0.60506,1.43814,1.1194,0.36505,0.6707,0.47754,0.41146,0.553,1.47541,0.96474,0.000979013,0.000979013,0.000979013
8,428.07,0.59407,1.39715,1.11005,0.39538,0.39029,0.24292,0.16303,0.82769,3.6193,1.1041,0.000957015,0.000957015,0.000957015
9,475.789,0.55485,1.37964,1.0966,0.23263,0.49939,0.38,0.30559,0.57132,2.01547,0.96339,0.000935018,0.000935018,0.000935018
10,522.71,0.52653,1.32452,1.07379,0.29248,0.6551,0.4545,0.35566,0.56777,1.77743,1.02144,0.00091302,0.00091302,0.00091302
11,572.701,0.50939,1.34354,1.06961,0.23122,0.43504,0.3134,0.15232,1.29791,2.66876,1.46864,0.000891022,0.000891022,0.000891022
12,620.969,0.53983,1.33063,1.09724,0.372,0.41328,0.40375,0.33577,0.77223,1.93749,1.10803,0.000869024,0.000869024,0.000869024
13,668.563,0.49733,1.27602,1.05675,0.29272,0.53071,0.42172,0.33359,0.64194,1.98435,1.01228,0.000847026,0.000847026,0.000847026
14,717.1,0.50919,1.28835,1.06627,0.39323,0.41704,0.42682,0.3096,0.60931,2.18495,1.01389,0.000825029,0.000825029,0.000825029
15,764.98,0.48101,1.26412,1.05759,0.24068,0.33686,0.2907,0.154,1.40552,3.20888,1.42919,0.000803031,0.000803031,0.000803031
16,813,0.485,1.26585,1.05394,0.54773,0.44624,0.49925,0.38587,0.59108,1.87849,0.97391,0.000781033,0.000781033,0.000781033
17,860.387,0.45946,1.23208,1.04816,0.45532,0.65458,0.57116,0.51426,0.43254,1.25034,1.01075,0.000759035,0.000759035,0.000759035
18,908.546,0.43817,1.22343,1.02341,0.6179,0.40506,0.4886,0.39156,0.44369,1.79497,1.00515,0.000737037,0.000737037,0.000737037
19,956.642,0.46131,1.25817,1.04181,0.40726,0.64606,0.54414,0.43313,0.46379,1.60499,0.93756,0.00071504,0.00071504,0.00071504
20,1004.53,0.44598,1.20334,1.02607,0.4417,0.59672,0.5198,0.441,0.44536,1.5076,0.98331,0.000693042,0.000693042,0.000693042
21,1052.31,0.43371,1.20605,1.03354,0.35837,0.43093,0.43546,0.33794,0.70866,2.04281,1.13658,0.000671044,0.000671044,0.000671044
22,1100.32,0.41819,1.19221,1.02199,0.12446,0.36692,0.17323,0.09183,1.18612,3.44518,1.40655,0.000649046,0.000649046,0.000649046
23,1148.56,0.4091,1.18256,1.01475,0.40299,0.35944,0.3537,0.24579,0.7605,2.6893,1.14083,0.000627048,0.000627048,0.000627048
24,1196.72,0.4102,1.15707,1.0209,0.34011,0.34455,0.34029,0.20433,0.77698,2.74607,1.13276,0.000605051,0.000605051,0.000605051
25,1245.21,0.40397,1.14104,1.0169,0.39183,0.49335,0.50883,0.43297,0.40752,1.81167,1.00541,0.000583053,0.000583053,0.000583053
26,1293.3,0.3933,1.14625,1.00724,0.58689,0.59675,0.60922,0.50589,0.40913,1.32289,1.05351,0.000561055,0.000561055,0.000561055
27,1341.83,0.40523,1.14829,1.01064,0.34544,0.53599,0.46065,0.38958,0.59151,2.00813,1.05412,0.000539057,0.000539057,0.000539057
